price,bedrooms,bathrooms,toilets,furnished,serviced,shared,parking,category,type,sub_type,state,locality,list_year,list_month
28000.0,2,2,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kileleshwa,2021,7
120000.0,2,2,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kileleshwa,2021,7
84000.0,1,1,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
180000.0,3,3,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
160000.0,2,1,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
100000.0,2,2,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
80000.0,1,1,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
50000.0,1,1,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
150000.0,2,2,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
120000.0,1,1,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
280000.0,3,3,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
90000.0,1,1,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
200000.0,2,2,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
150000.0,1,2,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
160000.0,2,2,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
120000.0,1,2,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
80000.0,1,1,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
70000.0,1,1,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
140000.0,3,3,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
140000.0,3,3,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
200000.0,2,2,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Kilimani,2021,7
150000.0,2,3,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
180000.0,1,1,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
85000.0,2,2,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Parklands,2021,7
110000.0,1,2,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
185000.0,3,3,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Kilimani,2021,7
230000.0,3,3,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
150000.0,2,2,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
280000.0,4,4,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Kileleshwa,2021,7
180000.0,3,3,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Kileleshwa,2021,7
180000.0,2,2,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Kileleshwa,2021,7
125000.0,3,2,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Kilimani,2021,7
150000.0,2,3,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
110000.0,2,2,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
180000.0,3,3,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
150000.0,2,2,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Kilimani,2021,7
120000.0,1,1,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
220000.0,3,4,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Kilimani,2021,7
260000.0,1,2,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
110000.0,1,1,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
220000.0,3,3,0.0,1,0,0,0,For Rent,Apartment,Missing,Kiambu,Kabete,2021,7
350000.0,3,3,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
350000.0,3,3,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
165000.0,3,3,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Lavington,2021,7
150000.0,2,2,0.0,1,0,0,0,For Rent,House,Missing,Nairobi,Lavington,2021,7
110000.0,2,1,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
170000.0,2,2,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
130000.0,1,1,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
180000.0,3,3,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
130000.0,1,1,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
95000.0,2,1,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Parklands,2021,7
120000.0,2,2,0.0,1,0,0,0,For Rent,Apartment,Missing,Kiambu,Thika,2021,7
80000.0,2,2,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
